pwm_left,pwm_right,linear_vel,angular_vel
210,190,0.3733943929518311,-0.046309523809523814
210,200,0.3738810448466613,-0.02429047619047619
210,210,0.3874760005259639,-0.025076190476190474
210,220,0.3968772929176974,0.010433333333333331
210,230,0.397311989714602,0.032338095238095235
210,240,0.41970924606218524,0.037623809523809525
210,250,0.4150867038619748,0.12104285714285712
220,0,0.14173156554051905,-1.5860380952380955
220,40,0.18002414371576153,-0.9418142857142855
220,80,0.24382444486641552,-0.5074476190476191
220,120,0.28538703395378784,-0.2613380952380952
220,130,0.30713118325638006,-0.24100952380952378
220,140,0.30472913003903035,-0.19385238095238094
220,150,0.33692946794036277,-0.12054761904761906
220,160,0.3264088949908481,-0.10727619047619048
220,170,0.34739510490440506,-0.08536999999999999
220,180,0.3530233834968979,-0.07440500000000001
220,190,0.3764251885773753,-0.05641428571428573
220,200,0.3704093371622116,-0.06470999999999999
220,210,0.4059101594786713,-0.032219047619047626
220,220,0.39937685416046165,0.0005857142857142863
220,230,0.4115802672051447,0.020374999999999997
220,240,0.40685618447865435,0.036809999999999996
220,250,0.4363453725003317,0.09096999999999997
230,0,0.12195096752288988,-1.7618380952380954
230,40,0.19739167472885133,-1.1686333333333334
230,80,0.24932052267587718,-0.6764285714285714
230,120,0.29297940314355586,-0.30709499999999995
230,130,0.3046981281181047,-0.22076190476190471
230,140,0.3163640168046171,-0.21116190476190477
230,150,0.3241390770777572,-0.18140000000000003
230,160,0.3320011531243198,-0.176
230,170,0.35668994481593375,-0.1453238095238095
230,180,0.35545083425978635,-0.08911428571428572
230,190,0.3935605887409036,-0.08144285714285714
230,200,0.3810761407847602,-0.06091428571428572
230,210,0.39848961227080165,-0.04886666666666667
230,220,0.398013978041787,-0.039633333333333326
230,230,0.4342542193025379,0.003966666666666666
230,240,0.420982870473139,0.014885714285714283
230,250,0.46754022814993007,0.056933333333333336
240,0,0.1463138070139809,-1.8711904761904758
240,40,0.19609011447743072,-1.2809095238095238
240,80,0.2541114859349651,-0.726752380952381
240,120,0.3138726689874122,-0.3914047619047619
240,130,0.3167686322554048,-0.2883619047619048
240,140,0.333887728342532,-0.226815
240,150,0.33580161596619246,-0.19818571428571424
240,160,0.35559562599488725,-0.18881
240,170,0.36650455591929115,-0.15644761904761909
240,180,0.37178605614790394,-0.12238095238095235
240,190,0.38113429958281086,-0.11263333333333335
240,200,0.39812923346673845,-0.08905238095238095
240,210,0.4067872562076958,-0.0989904761904762
240,220,0.4100439046684946,-0.05583809523809524
240,230,0.42257718851287834,-0.023833333333333335
240,240,0.4318598055785301,0.004685714285714282
240,250,0.47111686691170673,0.04457619047619047
250,0,0.1279917695609691,-2.166657142857143
250,40,0.20485377700202403,-1.4980619047619048
250,80,0.2540725688585361,-0.9458095238095241
250,120,0.30739851935222584,-0.463635
250,130,0.30701456955611384,-0.4033619047619049
250,140,0.32870220554154544,-0.3455476190476191
250,150,0.3472256077654339,-0.33099523809523806
250,160,0.3642670340505691,-0.25952380952380955
250,170,0.35827438422726404,-0.2116047619047619
250,180,0.4108401537689505,-0.1780190476190476
250,190,0.4027036150972991,-0.16396190476190475
250,200,0.4265291758068581,-0.15616190476190478
250,210,0.4168951928806189,-0.10905238095238094
250,220,0.44506740945489653,-0.06777142857142857
250,230,0.43931689774903676,-0.07266190476190476
250,240,0.4832322194005312,-0.02815714285714286
250,250,0.4732568982726259,-0.022619047619047615
